Тема	Вопрос	Почему это важно	Метрики влияния	Негатив для бизнеса
Оценка	Команда регулярно сравнивает оценки с фактическим результатом и обсуждает причины отклонений.	Помогает калибровать оценки и улучшать прогнозируемость.	Точность оценок, предсказуемость поставки	Ошибки в оценке повторяются, сроки и планы остаются ненадёжными.
Документация	Ключевые документы или архитектурные артефакты обновляются как часть завершения задач (входят в Definition of Done).	Поддерживает документацию актуальной и полезной для команды.	Время онбординга, эффективность разработки	Новые сотрудники дольше входят в работу, решения приходится восстанавливать по памяти.
Документация	У команды есть единое место хранения документации (wiki, репозиторий знаний или аналог).	Обеспечивает единый источник правды для команды.	Knowledge Accessibility, Decision Lead Time	Информация теряется в чатах и письмах, решения принимаются дольше.
Документация	Команда использует документацию как источник правды при обсуждении решений или требований.	Позволяет синхронизировать понимание между участниками.	Эффективность разработки, частота дефектов	Разные участники работают с разным пониманием требований, растёт количество ошибок.
Отслеживание запросов	Все запросы от заказчика и заинтересованных лиц фиксируются в едином инструменте (трекер, очередь, бэклог).	Повышает прозрачность и управляемость входящего потока.	Время обработки запроса, предсказуемость поставки	Запросы теряются или выполняются хаотично, падает предсказуемость поставки.
Отслеживание запросов	Команда регулярно приоритизирует поступающие запросы вместе с владельцем продукта и заказчиком (при необходимости).	Позволяет выбирать наиболее ценные задачи.	Поставленная бизнес-ценность, предсказуемость поставки	Команда работает над менее ценными задачами, важные запросы задерживаются.
Отслеживание запросов	Заказчик и владелец продукта могут самостоятельно увидеть статус своих запросов в системе.	Снижает нагрузку на коммуникации и повышает прозрачность.	Удовлетворённость заказчика и владельца продукта, время решения запроса	Заказчик и владелец продукта постоянно уточняют статус, растёт время на коммуникацию.
Планирование спринта	Команда на планировании выявляет основные зависимости и блокеры будущих задач.	Позволяет заранее снижать риски реализации.	Время выполнения, предсказуемость поставки	Зависимости обнаруживаются поздно, задачи блокируются в процессе спринта.
Планирование спринта	Команда формирует план спринта вместе с менеджером продукта (dPO) исходя из цели спринта и приоритетов бэклога.	Позволяет команде работать как единая система.	Достижение цели спринта, пропускная способность	Работа становится несвязанным набором задач.
Планирование спринта	Команда обсуждает риски и неопределённости задач во время планирования.	Позволяет учитывать сложность и уменьшать вероятность блокеров.	Предсказуемость поставки, время выполнения	Неопределённости обнаруживаются поздно и увеличивают сроки.
Ретроспектива	Каждая ретроспектива начинается с проверки выполнения action items предыдущей ретроспективы.	Помогает команде отслеживать реальные изменения.	Выполнение действий по улучшению, темп улучшения процессов	Команда забывает прошлые улучшения и повторяет те же проблемы.
Ретроспектива	Команда обсуждает на ретроспективе как процесс, так и взаимодействие внутри команды.	Позволяет улучшать как процесс, так и командную динамику.	Результативность команды, время цикла	Проблемы взаимодействия остаются нерешёнными.
Ретроспектива	Команда использует данные или метрики для анализа проблем на ретроспективе.	Помогает обсуждать проблемы на основе фактов.	Время цикла, частота дефектов	Проблемы обсуждаются на уровне мнений, а не реальных причин.
Дейли	Дейли проводится в фиксированное время и по понятному формату.	Создаёт устойчивый рабочий ритм.	Координация в команде, эффективность встреч	Команда теряет синхронизацию и информацию о текущем состоянии работы.
Дейли	На дейли фиксируются блокеры и назначаются действия для их устранения.	Позволяет быстро устранять препятствия.	Время устранения блокеров, время цикла	Блокеры остаются незамеченными и увеличивают время выполнения задач.
Дейли	Фасилитация дейли периодически распределяется между участниками команды.	Развивает ответственность и вовлечённость команды.	Автономия команды, вовлечённость	Вся ответственность за встречи ложится на скрам-мастера или менеджера продукта (dPO).
Поставка инкремента	Инкремент в конце спринта протестирован и стабилен.	Поддерживает качество продукта.	Частота дефектов, стабильность релизов	Увеличивается количество дефектов после релиза.
Поставка инкремента	Команда регулярно интегрирует изменения в общую кодовую базу.	Позволяет избегать больших интеграционных проблем.	Частота сбоев интеграции, время выполнения	Интеграция становится сложной и рискованной.
Поставка инкремента	Команда может выпускать изменения в продакшн без сложных ручных процедур.	Ускоряет поставку ценности пользователям.	Частота деплоев, время реализации изменений	Релизы редкие и дорогие по времени.
Демо	Демо проводится в конце каждого спринта или итерации.	Позволяет получать быструю обратную связь.	Время цикла обратной связи, валидация эпиков и историй	Обратная связь приходит слишком поздно.
Демо	На демо демонстрируется работающий функционал, а не только отчёты или презентации.	Позволяет заказчику и владельцу продукта видеть реальный результат.	Приёмка эпиков и историй	Ошибки в понимании требований обнаруживаются поздно.
Демо	Обратная связь от заказчика и владельца продукта фиксируется и добавляется в бэклог.	Позволяет использовать обратную связь для развития продукта.	Темп улучшения продукта	Обратная связь теряется и не влияет на развитие продукта.
Agile / Scrum ритмы	У команды есть устойчивый календарь ключевых событий (planning, review, retro).	Создаёт стабильный ритм работы.	Стабильность процесса, координация в команде	Работа команды становится хаотичной.
Agile / Scrum ритмы	Большинство событий проводится по расписанию без частых отмен.	Поддерживает дисциплину процесса.	Надёжность процесса, эффективность команды	Команда теряет регулярность улучшений и синхронизации.
Agile / Scrum ритмы	Результаты встреч используются как вход для следующих событий.	Позволяет связать все элементы процесса.	Эффективность процесса	Встречи не влияют на реальную работу команды.
Планирование и приоритизация	Существует единый бэклог работ, из которого команда берёт задачи.	Создаёт прозрачность работы команды.	Прозрачность работ, предсказуемость поставки	Работа распределяется хаотично.
Планирование и приоритизация	Команда понимает причины текущих приоритетов задач.	Повышает осознанность команды.	Поставленная бизнес-ценность, согласованность целей	Команда не понимает ценность выполняемых задач.
Планирование и приоритизация	При выборе приоритетов используются критерии ценности, затрат или риска.	Позволяет принимать более рациональные решения.	Возврат инвестиций, поставленная бизнес-ценность	Приоритеты определяются субъективно.
Управление зависимостями	Зависимости между задачами и командами фиксируются явно в трекере или на доске.	Позволяет команде заранее учитывать внешние блокеры.	Время выполнения, задержки из-за зависимостей	Зависимости обнаруживаются поздно и увеличивают сроки реализации.
Управление зависимостями	У каждой зависимости есть ответственный за её отслеживание и коммуникацию (менеджер продукта (dPO) или владелец продукта).	Позволяет управлять зависимостями активно, а не реактивно.	Предсказуемость поставки, время разрешения зависимостей	Зависимости «висят в воздухе», задачи простаивают.
Управление зависимостями	Команда регулярно синхронизируется со смежными командами по ключевым зависимостям.	Помогает своевременно решать межкомандные блокеры.	Время выполнения между командами, предсказуемость поставки	Межкомандные блокеры задерживают релизы и увеличивают Lead Time.
Синхронизация и взаимодействие	Есть регулярные встречи или каналы синхронизации со смежными командами, их менеджерами продукта (dPO) и владельцами продукта.	Поддерживает координацию в сложных системах.	Эффективность координации между командами	Информация о планах и изменениях доходит слишком поздно.
Синхронизация и взаимодействие	На встречах синхронизации фиксируются решения и договорённости.	Позволяет избегать разночтений и забытых договорённостей.	Время принятия решений, надёжность исполнения	Команды по-разному понимают принятые решения.
Синхронизация и взаимодействие	Назначены контактные лица по ключевым направлениям взаимодействия между командами.	Ускоряет коммуникацию между командами.	Время ответа между командами	Коммуникация между командами замедляется.
Непрерывное улучшение процессов	Команда регулярно обсуждает улучшения процесса работы.	Позволяет адаптировать процесс под реальные проблемы.	Темп улучшения процессов, время цикла	Процесс устаревает и перестаёт поддерживать эффективность команды.
Непрерывное улучшение процессов	Идеи улучшений фиксируются в явном виде (доска улучшений или backlog).	Помогает не терять идеи изменений.	Темп экспериментов с процессами	Полезные идеи забываются и не реализуются.
Непрерывное улучшение процессов	Команда измеряет влияние внедрённых изменений на метрики процесса.	Позволяет понимать, работают ли изменения.	Время цикла, пропускная способность	Изменения внедряются без понимания эффекта.
Definition of Ready (DoR)	В команде определены и задокументированы критерии готовности задачи к разработке (DoR).	Помогает брать в работу только подготовленные задачи.	Готовность задач, время цикла	В работу попадают плохо подготовленные задачи, увеличивается время разработки.
Definition of Ready (DoR)	Команда проверяет соответствие задач DoR перед началом разработки.	Снижает риск неопределённости в работе.	Доля доработок, время выполнения	Задачи часто возвращаются на доработку требований.
Definition of Ready (DoR)	Критерии DoR регулярно пересматриваются и обновляются командой.	Позволяет адаптировать процесс к изменениям.	Process Adaptability	DoR устаревает и перестаёт быть полезным.
Definition of Done (DoD)	В команде определено и задокументировано Definition of Done.	Формирует единое понимание завершённости работы.	Метрики качества, дефекты ушедшие в прод	Задачи закрываются без одинаковых критериев качества.
Definition of Done (DoD)	Команда проверяет соответствие задач DoD перед переводом их в статус Done.	Поддерживает стабильное качество поставки.	Частота дефектов, стабильность релизов	Растёт количество дефектов после релиза.
Definition of Done (DoD)	DoD регулярно пересматривается и обновляется командой.	Позволяет учитывать новые требования к качеству.	Темп улучшения качества	Критерии качества отстают от реальности.
Нефункциональные требования (NFR)	Для продукта определён набор нефункциональных требований (производительность, безопасность и т.д.).	Позволяет учитывать качество системы на уровне архитектуры.	Производительность системы, инциденты безопасности	Проблемы производительности и безопасности обнаруживаются поздно.
Нефункциональные требования (NFR)	NFR задокументированы и доступны команде.	Обеспечивает единое понимание ограничений системы.	Надёжность системы, соответствие SLA	Команда не учитывает требования к качеству.
Нефункциональные требования (NFR)	По ключевым NFR определены измеримые показатели (KPI, SLO) и они отслеживаются.	Позволяет контролировать качество системы.	Задержка, частота ошибок, доступность	Ухудшение качества системы остаётся незамеченным.
Здоровье бэклога	В бэклоге есть запас подготовленных задач как минимум на следующий спринт.	Позволяет планировать работу без спешки.	Готовность бэклога, эффективность планирования спринта	Команда тратит время на срочное уточнение задач.
Здоровье бэклога	У большинства задач в верхней части бэклога есть acceptance criteria.	Помогает команде понимать ожидаемый результат.	Ясность требований, частота дефектов	Ошибки из-за неполных требований.
Здоровье бэклога	Refinement проводится регулярно по установленному ритму.	Поддерживает качество бэклога.	Качество бэклога, эффективность планирования	Бэклог деградирует и становится непригодным для планирования.
User Story / Vertical Slicing	Команда использует единый шаблон для описания User Story.	Упрощает понимание задач.	Ясность требований	Разные задачи описаны по-разному и создают путаницу.
User Story / Vertical Slicing	Истории обычно нарезаются вертикально и дают end-to-end ценность.	Позволяет быстрее демонстрировать результат пользователю.	Время реализации инициативы (эпика/истории), поставка ценности	Работа разбивается по слоям и не приносит ценности.
User Story / Vertical Slicing	Большинство историй можно продемонстрировать пользователю как завершённую ценность.	Помогает получать раннюю обратную связь.	Внедрение эпиков и историй, время цикла обратной связи	Команда делает части системы, которые невозможно показать.
Управление изменениями	В команде есть правила изменения требований в течение спринта.	Поддерживает стабильность планирования.	Стабильность объёма, достижение цели спринта	План спринта постоянно меняется.
Управление изменениями	Изменения требований фиксируются как новые элементы бэклога.	Обеспечивает прозрачность изменений.	Частота изменения объёма	Изменения теряются или выполняются хаотично.
Управление изменениями	Команда оценивает влияние изменений на сроки и объём работы.	Позволяет принимать взвешенные решения.	Предсказуемость поставки	Изменения приводят к срыву сроков.
Бэклог и прозрачность работы	Заказчик и владелец продукта имеют доступ к доске или бэклогу команды.	Повышает прозрачность работы команды.	Удовлетворённость заказчика и владельца продукта	Заказчик и владелец продукта не понимают статус работы.
Бэклог и прозрачность работы	Статусы задач на доске регулярно обновляются.	Позволяет видеть реальное состояние работы.	Прозрачность работ	Информация о статусе устаревает.
Бэклог и прозрачность работы	Команда регулярно демонстрирует прогресс и результат владельцу продукта и заказчику.	Поддерживает доверие к команде.	Доверие заказчика и владельца продукта	Заказчик и владелец продукта не видят результатов работы.
Метрики команды и продукта	У команды есть набор процессных метрик (cycle time, throughput и др.).	Позволяет управлять эффективностью процесса.	Время цикла, пропускная способность	Команда не понимает эффективность своей работы.
Метрики команды и продукта	Команда отслеживает продуктовые метрики (например, конверсия, использование фич, удержание).	Позволяет измерять ценность продукта и видеть динамику изменений.	Конверсия, внедрение фич	Команда не понимает влияние изменений на продукт.
Метрики команды и продукта	Метрики визуализированы на дашбордах и доступны команде.	Делает данные доступными для принятия решений. Примеры метрик на дашбордах — по релевантности продукта: продуктовые (конверсия, удержание, внедрение фич), процессные (время цикла, пропускная способность, WIP), технические и качества (ошибки, доступность, время отклика); необязательно все типы сразу.	Доступность данных	Команда принимает решения без данных.
Data-driven решения	Перед внедрением изменений команда формулирует гипотезу и метрики успеха.	Позволяет проверять влияние изменений.	Успешность экспериментов	Изменения внедряются без понимания эффекта.
Data-driven решения	Команда проводит эксперименты (например A/B-тесты) для проверки идей.	Позволяет снижать риск неудачных решений.	Прирост конверсии в экспериментах	Эпики и истории внедряются без проверки гипотез.
Data-driven решения	Команда анализирует результаты экспериментов и принимает решения на их основе.	Обеспечивает обучение на основе данных.	Темп улучшения продукта	Команда не учится на результатах изменений.
Отчётность и визуализация	У команды есть дашборды с ключевыми метриками и статусом работы.	Позволяет быстро понимать состояние продукта и процесса. Ключевые метрики могут включать, например, продуктовые KPI или North Star, показатели спринта или поставки (velocity, burndown, прогресс к цели спринта), качество (дефекты, инциденты). Статус работы — видимость по задачам или эпикам, блокеры, риски; набор подбирается под команду.	Эффективность отчётности	Данные собираются вручную и долго.
Отчётность и визуализация	Данные на дашбордах обновляются автоматически и регулярно.	Поддерживает актуальность информации.	Актуальность данных	Стейкхолдеры работают с устаревшими данными.
Отчётность и визуализация	Команда использует дашборды на встречах для обсуждения решений.	Делает обсуждение основанным на фактах.	Качество решений	Решения принимаются на основе мнений.
